"filename", "language", "JavaScript", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Airlines.js", "JavaScript", 110, 0, 0, 1, 18, 129
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Airplane.html", "HTML", 0, 271, 0, 0, 44, 315
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Countries.js", "JavaScript", 83, 0, 0, 4, 12, 99
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Customers.js", "JavaScript", 115, 0, 0, 3, 16, 134
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Flights.js", "JavaScript", 115, 0, 0, 3, 16, 134
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Tickets.js", "JavaScript", 130, 0, 0, 3, 18, 151
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\app.js", "JavaScript", 193, 0, 0, 0, 24, 217
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\connection.js", "JavaScript", 13, 0, 0, 0, 1, 14
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\flightslist.html", "HTML", 0, 95, 0, 1, 9, 105
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\index.html", "HTML", 0, 51, 0, 0, 6, 57
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\package-lock.json", "JSON", 0, 0, 1626, 0, 1, 1627
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\package.json", "JSON", 0, 0, 21, 0, 1, 22
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\project.html", "HTML", 0, 53, 0, 0, 6, 59
"Total", "-", 759, 470, 1647, 15, 172, 3063
